Flight	Departing	ATC	Duration	Arriving	ATC	Mon	Tue	Wed	Thu	Fri	Sat	Sun	Aircraft	Type	Book
FL1055	EGCC (1929z)	VATSIM	01:55	ENGM (2124z)	VATSIM	Y	Y	Y	Y	Y	Y	Y	A320	Scheduled	
	Manchester	IVAO		Oslo											
FL1056	ENGM (2209z)	VATSIM	01:55	EGCC (0004z)	VATSIM	Y	Y	Y	Y	Y	Y	Y	A320	Scheduled	
	Oslo			Manchester	IVAO										
FL1057	EGCC (0735z)	VATSIM	02:00	LIMC (0935z)		Y		Y		Y		Y	A320	Scheduled	
	Manchester	IVAO		Milan											
FL1058	LIMC (1020z)		02:00	EGCC (1220z)	VATSIM	Y		Y		Y		Y	A320	Scheduled	
	Milan			Manchester	IVAO										
FL137	EGLL (0610z)	VATSIM	01:30	EGPD (0740z)		Y	Y	Y	Y	Y	Y	Y	A320	Scheduled	
	London	IVAO		Aberdeen											
FL138	EGPD (0825z)		01:30	EGLL (0955z)	VATSIM	Y	Y	Y	Y	Y	Y	Y	A320	Scheduled	
	Aberdeen			London	IVAO										
FL139	EGLL (1040z)	VATSIM	01:15	EGNT (1155z)		Y	Y	Y	Y	Y	Y	Y	A320	Scheduled	
	London	IVAO		Newcastle											
FL140	EGNT (1240z)		01:15	EGLL (1355z)	VATSIM	Y	Y	Y	Y	Y	Y	Y	A320	Scheduled	
	Newcastle			London	IVAO										
FL141	EGLL (1440z)	VATSIM	01:30	EGPD (1610z)		Y	Y	Y	Y	Y	Y	Y	A320	Scheduled	
	London	IVAO		Aberdeen											
FL142	EGPD (1655z)		01:30	EGLL (1825z)	VATSIM	Y	Y	Y	Y	Y	Y	Y	A320	Scheduled	
	Aberdeen			London	IVAO										
FL143	EGLL (1910z)	VATSIM	01:30	EGPD (2040z)		Y	Y	Y	Y	Y	Y	Y	A320	Scheduled	
	London	IVAO		Aberdeen											
FL144	EGPD (2125z)		01:30	EGLL (2255z)	VATSIM	Y	Y	Y	Y	Y	Y	Y	A320	Scheduled	
	Aberdeen			London	IVAO										
FL246	LSGG (0840z)	VATSIM	01:35	EGLL (1015z)	VATSIM	Y		Y		Y		Y	A320	Scheduled	
	Geneva			London	IVAO										
FL247	EGLL (1100z)	VATSIM	01:50	ENZV (1250z)		Y		Y		Y		Y	A320	Scheduled	
	London	IVAO		Stavanger											
FL248	ENZV (1335z)		02:00	EGLL (1535z)	VATSIM	Y		Y		Y		Y	A320	Scheduled	
	Stavanger			London	IVAO										
FL249	EGLL (1620z)	VATSIM	03:00	LIRF (1920z)		Y		Y		Y		Y	A320	Scheduled	
	London	IVAO		Rome											
